title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
6 bedroom detached bungalow for sale,40000000.0,orita,6.0,6.0,6.0,400,bungalow,6666666.666666667,100000.0
4 bedroom block of flats for sale,70000000.0,,4.0,4.0,4.0,400,apartment,17500000.0,175000.0
4 bedroom detached duplex for sale,300000000.0,Old Bodija,4.0,5.0,5.0,400,duplex,75000000.0,750000.0
3 bedroom detached bungalow for sale,85000000.0,Akala Way,3.0,4.0,4.0,400,bungalow,28333333.333333332,212500.0
5 bedroom detached duplex for sale,350000000.0,Kolapo Ishola Gra,5.0,5.0,6.0,400,duplex,70000000.0,875000.0
Block of flats for sale,18000000.0,Agbowo,4.0,4.0,4.0,400,apartment,4500000.0,45000.0
Block of flats for sale,150000000.0,Adeoyo,4.0,4.0,4.0,400,apartment,37500000.0,375000.0
4 bedroom detached duplex for sale,250000000.0,Samonda,4.0,5.0,5.0,400,duplex,62500000.0,625000.0
4 bedroom detached duplex for sale,195000000.0,Oluyole Estate,4.0,5.0,5.0,550,duplex,48750000.0,354545.45454545453
4 bedroom detached duplex for sale,250000000.0,Akobo,4.0,5.0,5.0,550,duplex,62500000.0,454545.45454545453
4 bedroom detached duplex for sale,180000000.0,Jankata Near Kuola Off Akala Express Oluyole Extension Ibadan,4.0,4.0,4.0,550,duplex,45000000.0,327272.7272727273
4 bedroom detached duplex for sale,300000000.0,Alalubosa,4.0,5.0,5.0,550,duplex,75000000.0,545454.5454545454
4 bedroom detached duplex for sale,280000000.0,Akobo,4.0,5.0,5.0,550,duplex,70000000.0,509090.9090909091
5 bedroom detached duplex for sale,450000000.0,Engineer Lere Adigun Gra,5.0,6.0,6.0,550,duplex,90000000.0,818181.8181818182
5 bedroom detached duplex for sale,300000000.0,Oluyole Extension,5.0,5.0,5.0,550,duplex,60000000.0,545454.5454545454
5 bedroom semi-detached duplex for sale,135000000.0,Behind Ashi-bodija Baptist College,5.0,4.0,4.0,868,duplex,27000000.0,155529.9539170507
4 bedroom detached duplex for sale,450000000.0,Akobo,4.0,6.0,6.0,868,duplex,112500000.0,518433.1797235023
4 bedroom detached duplex for sale,300000000.0,Samonda,4.0,5.0,5.0,868,duplex,75000000.0,345622.1198156682
4 bedroom semi-detached duplex for sale,375000000.0,Akobo,4.0,5.0,5.0,868,duplex,93750000.0,432027.64976958523
4 bedroom semi-detached duplex for sale,370000000.0,Akobo,4.0,5.0,5.0,868,duplex,92500000.0,426267.28110599075
3 bedroom detached bungalow for sale,85000000.0,Challenge,3.0,4.0,4.0,868,bungalow,28333333.333333332,97926.26728110599
4 bedroom detached duplex for sale,185000000.0,Ile Tuntun,4.0,5.0,5.0,868,duplex,46250000.0,213133.64055299538
4 bedroom detached duplex for sale,300000000.0,Akobo,4.0,5.0,5.0,868,duplex,75000000.0,345622.1198156682
4 bedroom detached duplex for sale,310000000.0,Next To Kolapo Ishola Gra,4.0,5.0,5.0,868,duplex,77500000.0,357142.85714285716
4 bedroom detached duplex for sale,315000000.0,kolapo Ishola,4.0,5.0,5.0,868,duplex,78750000.0,362903.22580645164
4 bedroom detached duplex for sale,270000000.0,Kolapo Ishola Gra,4.0,5.0,5.0,868,duplex,67500000.0,311059.9078341014
5 bedroom detached duplex for sale,300000000.0,Oluyole Estate,5.0,6.0,6.0,868,duplex,60000000.0,345622.1198156682
5 bedroom detached duplex for sale,350000000.0,Akobo,5.0,6.0,6.0,868,duplex,70000000.0,403225.8064516129
5 bedroom detached bungalow for sale,165000000.0,Ikolaba Gra,5.0,5.0,5.0,868,bungalow,33000000.0,190092.1658986175
5 bedroom detached duplex for sale,300000000.0,Near Heritage Estate Oluyole Extension,5.0,5.0,6.0,2,duplex,60000000.0,150000000.0
4 bedroom detached bungalow for sale,65000000.0,Maberi Area Off Ajinde Akala Express,4.0,5.0,6.0,2,bungalow,16250000.0,32500000.0
6 bedroom block of flats for sale,58000000.0,Ologuneru,6.0,7.0,7.0,2,apartment,9666666.666666666,29000000.0
4 bedroom detached duplex for sale,200000000.0,Beside Kolapo Ishola,4.0,5.0,5.0,2,duplex,50000000.0,100000000.0
1 bedroom detached duplex for sale,180000000.0,Agodi,1.0,1.0,2.0,2,duplex,180000000.0,90000000.0
Block of flats for sale,80000000.0,Academy,4.0,4.0,4.0,2,apartment,20000000.0,40000000.0
6 bedroom block of flats for sale,390000000.0,Old Bodija,6.0,6.0,6.0,2,apartment,65000000.0,195000000.0
4 bedroom detached duplex for sale,260000000.0,Alalubosa,4.0,4.0,5.0,2,duplex,65000000.0,130000000.0
5 bedroom detached bungalow for sale,150000000.0,Nnpc Area,5.0,5.0,5.0,2,bungalow,30000000.0,75000000.0
5 bedroom semi-detached duplex for sale,165000000.0,Oluyole Estate,5.0,5.0,5.0,383,duplex,33000000.0,430809.3994778068
4 bedroom detached duplex for sale,160000000.0,Ologuneru,4.0,4.0,5.0,383,duplex,40000000.0,417754.56919060054
4 bedroom semi-detached duplex for sale,250000000.0,Jericho Hill Estate,4.0,1.0,2.0,383,duplex,62500000.0,652741.5143603133
4 bedroom detached duplex for sale,220000000.0,Akobo,4.0,4.0,5.0,383,duplex,55000000.0,574412.5326370758
4 bedroom semi-detached duplex for sale,370000000.0,Akobo,4.0,4.0,5.0,383,duplex,92500000.0,966057.4412532637
4 bedroom detached duplex for sale,315000000.0,Akobo,4.0,4.0,5.0,383,duplex,78750000.0,822454.3080939947
4 bedroom detached duplex for sale,300000000.0,Akobo,4.0,4.0,5.0,383,duplex,75000000.0,783289.817232376
4 bedroom detached duplex for sale,195000000.0,Oluyole Estate,4.0,4.0,5.0,383,duplex,48750000.0,509138.38120104437
